# Train        Valid       
    2.805365     2.768462 
    2.769262     2.757749 
    2.762030     2.751625 
    2.758477     2.751535 
    2.756700     2.747008 
    2.754754     2.745378 
    2.753834     2.744915 
    2.753218     2.742907 
    2.752266     2.742932 
    2.751778     2.743688 
    2.751507     2.738891 
    2.750715     2.741300 
    2.750746     2.742312 
    2.734390     2.725829 
    2.732849     2.727050 
    2.732572     2.725625 
    2.732672     2.725348 
    2.732408     2.724953 
    2.732441     2.725606 
    2.732443     2.724095 
    2.726592     2.720214 
    2.727113     2.722622 
    2.727434     2.720488 
    2.727563     2.720224 
    2.727762     2.721685 
    2.727975     2.722880 
    2.727993     2.722555 
    2.728050     2.722242 
    2.727995     2.722203 
    2.728072     2.721002 
    2.724872     2.719544 
    2.725727     2.719144 
    2.726136     2.719900 
    2.726370     2.721875 
    2.726607     2.719968 
    2.726586     2.719947 
    2.726767     2.720424 
    2.726877     2.719819 
    2.726969     2.719865 
    2.726920     2.720601 
    2.724472     2.718667 
    2.725362     2.719413 
    2.725767     2.719916 
    2.725983     2.719526 
    2.726219     2.719582 
    2.726294     2.719724 
    2.726371     2.721146 
    2.726373     2.720324 
    2.726513     2.721615 
    2.726503     2.720713 
