# Train        Valid       
    5.974429     8.601672 
    9.437938     9.782183 
   10.179987    10.396961 
   10.583026    10.895622 
   10.882240    11.081683 
   11.091389    11.140910 
   11.259095    11.338032 
   11.431067    11.569610 
   11.562176    11.655278 
   11.695193    11.505843 
   11.789092    11.647618 
   11.892539    11.811114 
   11.963132    11.747746 
   12.044039    12.059805 
   12.132333    12.078074 
   12.171427    12.039243 
   12.261505    12.320972 
   12.321907    12.248937 
   12.385720    12.332058 
   12.437374    12.446318 
   12.508807    12.363283 
   12.538642    12.272514 
   12.565737    12.584237 
   12.619392    12.484474 
   12.694565    12.478953 
   12.728888    12.289195 
   12.764479    12.487518 
   12.807818    12.265501 
   12.827072    12.781442 
   12.854446    12.660139 
   12.920772    12.612977 
   12.959167    12.467116 
   12.991742    12.665890 
   13.018911    12.274461 
   13.044906    12.357411 
   13.072001    12.751104 
   13.093878    12.670451 
   13.132176    12.835248 
   13.158017    12.771983 
   13.189190    12.388452 
   13.207753    12.283553 
   13.234306    12.715895 
   13.259997    12.679063 
   13.286394    12.489210 
   13.305736    12.668663 
   13.336455    12.876268 
   13.324448    11.510754 
   13.365092    12.197228 
   13.395480    12.443855 
   13.425008    12.505440 
   13.676976    13.823194 
   13.710639    13.781911 
   13.724440    13.759561 
   13.733518    13.784648 
   13.739689    13.719891 
   13.742635    13.778983 
   13.753303    13.770148 
   13.756351    13.750643 
   13.761408    13.792426 
   13.768755    13.781684 
   13.773608    13.789373 
   13.775158    13.778505 
   13.786003    13.754049 
   13.790974    13.718152 
   13.789938    13.831903 
   13.798393    13.728346 
   13.801703    13.790456 
   13.804704    13.698353 
   13.810357    13.813573 
   13.815254    13.720661 
   13.814856    13.769716 
   13.817071    13.810080 
   13.825512    13.801422 
   13.826501    13.806025 
   13.833541    13.773704 
   13.836650    13.752500 
   13.841582    13.809572 
   13.843621    13.745125 
   13.846538    13.778936 
   13.847850    13.675419 
   13.855489    13.826656 
   13.856385    13.678506 
   13.856641    13.803909 
   13.861646    13.856339 
   13.863198    13.857058 
   13.867998    13.725768 
   13.870204    13.818118 
   13.876274    13.745517 
   13.874650    13.792197 
   13.877405    13.715560 
   13.883985    13.791021 
   13.888496    13.874131 
   13.889853    13.837374 
   13.893919    13.830004 
   13.894090    13.852410 
   13.899860    13.811381 
   13.895796    13.741337 
   13.904843    13.897142 
   13.905704    13.842460 
   13.903938    13.803923 
   13.950632    14.042060 
   13.952808    14.042832 
   13.954351    14.036198 
   13.952578    14.031798 
   13.955088    14.037656 
   13.952607    14.039907 
   13.955335    14.043220 
   13.955902    14.040333 
   13.955623    14.034366 
   13.956070    14.040724 
   13.956863    14.041021 
   13.956792    14.039636 
   13.957356    14.030587 
   13.959883    14.042838 
   13.959770    14.044308 
   13.961592    14.032981 
   13.959876    14.036320 
   13.961974    14.038473 
   13.961488    14.035525 
   13.961575    14.046998 
   13.961208    14.040253 
   13.963253    14.041502 
   13.960207    14.039450 
   13.962982    14.037705 
   13.961137    14.033819 
   13.962832    14.033265 
   13.963523    14.044863 
   13.963588    14.031347 
   13.965405    14.042120 
   13.964305    14.041684 
   13.963390    14.046083 
   13.964721    14.038852 
   13.966686    14.040743 
   13.964868    14.041028 
   13.967488    14.046461 
   13.968474    14.043437 
   13.965925    14.040642 
   13.967187    14.048168 
   13.966407    14.040845 
   13.966780    14.044373 
   13.967641    14.044457 
   13.968818    14.042404 
   13.966739    14.045685 
   13.970200    14.043788 
   13.969968    14.052240 
   13.969346    14.049025 
   13.970044    14.045700 
   13.970120    14.047537 
   13.971936    14.048669 
   13.972541    14.047929 
   13.976597    14.056725 
   13.979711    14.059441 
   13.977126    14.054233 
   13.976391    14.058918 
   13.976003    14.057333 
   13.977765    14.057732 
   13.977159    14.058523 
   13.976782    14.059797 
   13.977374    14.056648 
   13.977022    14.059304 
   13.978884    14.058984 
   13.976387    14.056482 
   13.977373    14.058179 
   13.978612    14.057668 
   13.980202    14.053427 
   13.976593    14.055815 
   13.978126    14.055933 
   13.978041    14.056903 
   13.977455    14.053453 
   13.977560    14.057258 
   13.977875    14.056841 
   13.975871    14.055364 
   13.976942    14.057618 
   13.976746    14.056394 
   13.977899    14.058609 
   13.976174    14.055778 
   13.977073    14.057063 
   13.978818    14.054848 
   13.979366    14.057345 
   13.979477    14.059388 
   13.979056    14.058658 
   13.976458    14.054774 
   13.977765    14.056515 
   13.978735    14.059504 
   13.977818    14.055717 
   13.976153    14.057337 
   13.978249    14.058778 
   13.977763    14.052777 
   13.977594    14.059072 
   13.979940    14.058880 
   13.979329    14.054711 
   13.978046    14.058922 
   13.979310    14.055077 
   13.977590    14.060081 
   13.977185    14.056748 
   13.978429    14.057618 
   13.977933    14.058109 
   13.979502    14.056684 
   13.979901    14.052239 
   13.980596    14.055539 
