# Train        Valid       
    0.734968     0.714436 
    0.707901     0.705211 
    0.702101     0.700405 
    0.698952     0.696506 
    0.696614     0.695053 
    0.694977     0.694585 
    0.693667     0.693047 
    0.692319     0.691239 
    0.691298     0.690567 
    0.690258     0.691739 
    0.689521     0.690626 
    0.688715     0.689350 
    0.688162     0.689843 
    0.687527     0.687409 
    0.686839     0.687263 
    0.686533     0.687567 
    0.685827     0.685364 
    0.685357     0.685925 
    0.684860     0.685278 
    0.684457     0.684389 
    0.683898     0.685032 
    0.683665     0.685743 
    0.683454     0.683307 
    0.683030     0.684088 
    0.682445     0.684132 
    0.682179     0.685613 
    0.681897     0.684060 
    0.681565     0.685796 
    0.681409     0.681765 
    0.681195     0.682715 
    0.680677     0.683084 
    0.680377     0.684218 
    0.680121     0.682668 
    0.679909     0.685732 
    0.679707     0.685081 
    0.679494     0.682004 
    0.679323     0.682630 
    0.679025     0.681344 
    0.678819     0.681840 
    0.678583     0.684838 
    0.678433     0.685658 
    0.678227     0.682277 
    0.678025     0.682565 
    0.677817     0.684047 
    0.677667     0.682648 
    0.677426     0.681022 
    0.677519     0.691701 
    0.677202     0.686331 
    0.676964     0.684403 
    0.676736     0.683926 
    0.674767     0.673620 
    0.674503     0.673947 
    0.674393     0.674119 
    0.674324     0.673926 
    0.674277     0.674430 
    0.674253     0.673966 
    0.674174     0.674034 
    0.674147     0.674189 
    0.674108     0.673863 
    0.674049     0.673948 
    0.674011     0.673886 
    0.674000     0.673970 
    0.673912     0.674163 
    0.673874     0.674444 
    0.673880     0.673553 
    0.673819     0.674365 
    0.673793     0.673880 
    0.673765     0.674604 
    0.673723     0.673700 
    0.673684     0.674425 
    0.673690     0.674042 
    0.673672     0.673726 
    0.673604     0.673795 
    0.673599     0.673759 
    0.673542     0.674005 
    0.673518     0.674172 
    0.673479     0.673732 
    0.673465     0.674237 
    0.673440     0.673972 
    0.673429     0.674780 
    0.673373     0.673595 
    0.673365     0.674753 
    0.673361     0.673773 
    0.673320     0.673361 
    0.673309     0.673359 
    0.673275     0.674387 
    0.673254     0.673660 
    0.673208     0.674228 
    0.673221     0.673867 
    0.673199     0.674466 
    0.673146     0.673875 
    0.673115     0.673226 
    0.673102     0.673511 
    0.673070     0.673568 
    0.673068     0.673396 
    0.673025     0.673716 
    0.673058     0.674261 
    0.672986     0.673045 
    0.672975     0.673471 
    0.672990     0.673770 
    0.672626     0.671913 
    0.672610     0.671907 
    0.672596     0.671959 
    0.672612     0.671995 
    0.672593     0.671946 
    0.672612     0.671932 
    0.672592     0.671900 
    0.672583     0.671928 
    0.672590     0.671971 
    0.672585     0.671922 
    0.672576     0.671923 
    0.672581     0.671931 
    0.672577     0.672002 
    0.672555     0.671909 
    0.672555     0.671898 
    0.672541     0.671983 
    0.672554     0.671956 
    0.672540     0.671943 
    0.672542     0.671964 
    0.672542     0.671873 
    0.672545     0.671928 
    0.672529     0.671915 
    0.672552     0.671935 
    0.672531     0.671951 
    0.672542     0.671977 
    0.672534     0.671980 
    0.672523     0.671891 
    0.672526     0.672000 
    0.672507     0.671912 
    0.672520     0.671914 
    0.672528     0.671880 
    0.672518     0.671943 
    0.672500     0.671924 
    0.672518     0.671922 
    0.672494     0.671882 
    0.672491     0.671905 
    0.672507     0.671919 
    0.672499     0.671865 
    0.672506     0.671920 
    0.672503     0.671892 
    0.672493     0.671894 
    0.672481     0.671911 
    0.672502     0.671884 
    0.672474     0.671899 
    0.672475     0.671834 
    0.672482     0.671857 
    0.672476     0.671881 
    0.672477     0.671868 
    0.672462     0.671858 
    0.672458     0.671865 
    0.672424     0.671795 
    0.672396     0.671780 
    0.672420     0.671818 
    0.672425     0.671779 
    0.672434     0.671794 
    0.672416     0.671792 
    0.672422     0.671784 
    0.672423     0.671774 
    0.672417     0.671798 
    0.672424     0.671778 
    0.672404     0.671784 
    0.672427     0.671800 
    0.672419     0.671786 
    0.672409     0.671791 
    0.672394     0.671824 
    0.672429     0.671807 
    0.672411     0.671808 
    0.672413     0.671796 
    0.672418     0.671823 
    0.672418     0.671792 
    0.672411     0.671798 
    0.672428     0.671809 
    0.672421     0.671789 
    0.672424     0.671797 
    0.672411     0.671782 
    0.672428     0.671805 
    0.672420     0.671796 
    0.672403     0.671812 
    0.672399     0.671792 
    0.672402     0.671781 
    0.672409     0.671782 
    0.672425     0.671812 
    0.672411     0.671796 
    0.672407     0.671778 
    0.672415     0.671803 
    0.672429     0.671794 
    0.672409     0.671779 
    0.672416     0.671830 
    0.672417     0.671779 
    0.672399     0.671782 
    0.672402     0.671813 
    0.672413     0.671778 
    0.672402     0.671814 
    0.672417     0.671772 
    0.672418     0.671797 
    0.672409     0.671790 
    0.672411     0.671786 
    0.672403     0.671798 
    0.672399     0.671834 
    0.672393     0.671807 
