# Train        Valid       
   10.446762    11.591621 
   11.556082    11.914763 
   11.782013    12.116915 
   11.893451    12.124074 
   11.949261    12.252369 
   12.010764    12.312968 
   12.039731    12.320467 
   12.059242    12.392100 
   12.089251    12.396380 
   12.104798    12.367874 
   12.113603    12.517107 
   12.138322    12.432906 
   12.137472    12.404940 
   12.649149    12.920089 
   12.697982    12.882108 
   12.706624    12.928834 
   12.703856    12.932576 
   12.711837    12.949771 
   12.710971    12.928470 
   12.711233    12.979388 
   12.894090    13.098622 
   12.877795    13.018726 
   12.867553    13.090560 
   12.863756    13.099027 
   12.857653    13.055985 
   12.850669    13.009227 
   12.850103    13.026509 
   12.848402    13.030828 
   12.850279    13.037574 
   12.847813    13.071310 
   12.948191    13.119639 
   12.921227    13.129909 
   12.908454    13.106688 
   12.901128    13.050627 
   12.893653    13.107890 
   12.894259    13.107958 
   12.888467    13.093738 
   12.885389    13.111170 
   12.882308    13.107554 
   12.883736    13.084764 
   12.960763    13.146950 
   12.932814    13.121044 
   12.920052    13.106693 
   12.913251    13.118234 
   12.905892    13.117153 
   12.903474    13.110481 
   12.901223    13.074605 
   12.900954    13.093069 
   12.896728    13.049580 
   12.896963    13.078474 
